song_name,track_spotify_id,spotify_track_link,thumbnail_link,artist_name,artist_id,artist_link,acousticness,danceability,duration_ms,energy,speechiness,tempo,time_signature,valence,key,instrumentalness,liveness,loudness,mode,Romantic Ballad,Dance Pop,Sad Ballad,Folk Fusion,Classical Fusion,Qawwali,Sufi,Party Anthem,Patriotic,Rock Fusion,Item Number,Lyrical Rap,Devotional,Ghazal,Retro,Comedy,Motivational,Wedding,Festival
Sadka,4dPeCbg2Op44s9kwyMS3ZT,https://open.spotify.com/track/4dPeCbg2Op44s9kwyMS3ZT,https://i.scdn.co/image/ab67616d0000b2731992dd7b33baf5887ea4a1ec,Vishal-Shekhar,6Mv8GjQa7LKUGCAqa9qqdb,https://open.spotify.com/artist/6Mv8GjQa7LKUGCAqa9qqdb,0.232,0.678,343587.0,0.547,0.0286,143.892,4.0,0.579,7.0,0.000176,0.0785,-6.89,1.0,1.0,,,,,,,,,,,,,,,,,,
Surili Akhiyon Wale,1la0ICQBLfO0lyqsWNwG7l,https://open.spotify.com/track/1la0ICQBLfO0lyqsWNwG7l,https://i.scdn.co/image/ab67616d0000b2730274bdd4aca5b84e3f9dca39,Rahat Fateh Ali Khan,3OLGltG8UPIea8sA4w0yg0,https://open.spotify.com/artist/3OLGltG8UPIea8sA4w0yg0,0.407,0.517,331747.0,0.561,0.0303,75.977,4.0,0.448,4.0,0.0,0.0853,-5.777,1.0,1.0,,,,,,,,,,,,,,,,,,
Hona Tha Pyar,0KSOLEBixnBYIKNHF1VbzF,https://open.spotify.com/track/0KSOLEBixnBYIKNHF1VbzF,https://i.scdn.co/image/ab67616d0000b27371ef95ca0f8a1270a3cebc05,Atif Aslam,2oSONSC9zQ4UonDKnLqksx,https://open.spotify.com/artist/2oSONSC9zQ4UonDKnLqksx,0.571,0.687,221987.0,0.542,0.0307,102.994,4.0,0.782,4.0,0.0307,0.118,-8.689,1.0,1.0,,,,,,,,,,,,,,,,,,
Zehnaseeb,3xF15SqY32Mno3UUMBirhU,https://open.spotify.com/track/3xF15SqY32Mno3UUMBirhU,https://i.scdn.co/image/ab67616d0000b2732025db071cd9dd7e8023e01e,Vishal-Shekhar,6Mv8GjQa7LKUGCAqa9qqdb,https://open.spotify.com/artist/6Mv8GjQa7LKUGCAqa9qqdb,0.361,0.623,217440.0,0.595,0.0331,78.029,4.0,0.418,7.0,0.000136,0.353,-6.342,1.0,1.0,,,,,,,,,,,,,,,,,,
Rait Zara Si,3gOXq3FPPesm7VLPKmef6j,https://open.spotify.com/track/3gOXq3FPPesm7VLPKmef6j,https://i.scdn.co/image/ab67616d0000b2736caa5200eff5e7432e4bcb0d,Arijit Singh,4YRxDV8wJFPHPTeXepOstw,https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw,0.781,0.563,291462.0,0.495,0.0362,125.998,4.0,0.244,2.0,0.0,0.0837,-10.272,1.0,,,,,,,,,,,,,,,,,,,
Tu / You,4L6hCEc9xFf01U4d66JzK0,https://open.spotify.com/track/4L6hCEc9xFf01U4d66JzK0,https://i.scdn.co/image/ab67616d0000b273d5fb91faa0124cdd3f6e284a,Armaan Malik,4IKVDbCSBTxBeAsMKjAuTs,https://open.spotify.com/artist/4IKVDbCSBTxBeAsMKjAuTs,0.792,0.717,142511.0,0.471,0.0348,110.026,4.0,0.426,9.0,1.24e-06,0.327,-7.971,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
"Tu Jo Mila (From ""Bajrangi Bhaijaan"")",0Gx85FNdpsYyTfHiumSJfk,https://open.spotify.com/track/0Gx85FNdpsYyTfHiumSJfk,https://i.scdn.co/image/ab67616d0000b273f8ef6c7a66a030647287e25b,KK,4fEkbug6kZzzJ8eYX6Kbbp,https://open.spotify.com/artist/4fEkbug6kZzzJ8eYX6Kbbp,0.795,0.576,242864.0,0.591,0.0332,124.013,4.0,0.478,0.0,6.85e-05,0.266,-7.725,1.0,1.0,,,,,,,,,,,,,,,,,,
"Dekh Lena (From ""Tum Bin 2"")",41GKjlHKRumjutbPjMr0UT,https://open.spotify.com/track/41GKjlHKRumjutbPjMr0UT,https://i.scdn.co/image/ab67616d0000b27395067fdf365803513c949fe5,Arijit Singh,4YRxDV8wJFPHPTeXepOstw,https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw,0.809,0.566,281525.0,0.597,0.0407,151.878,4.0,0.654,0.0,0.0117,0.297,-7.889,1.0,1.0,,,,,,,,,,,,,,,,,,
Aashiyan,7ttlemwytO21npSmLKqTBg,https://open.spotify.com/track/7ttlemwytO21npSmLKqTBg,https://i.scdn.co/image/ab67616d0000b273352f44aed6f226c6ea28b961,Pritam,1wRPtKGflJrBx9BmLsSwlU,https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU,0.293,0.829,236373.0,0.622,0.0518,131.971,4.0,0.775,10.0,2.8e-06,0.167,-7.293,1.0,1.0,,,,,,,,,,,,,,,,,,
"Har Kisi Ko (From ""Boss)",4A7eOIbt19Wk5OXjVxE3SI,https://open.spotify.com/track/4A7eOIbt19Wk5OXjVxE3SI,https://i.scdn.co/image/ab67616d0000b2732d2263486e48ab1b41ae2466,Arijit Singh,4YRxDV8wJFPHPTeXepOstw,https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw,0.478,0.553,337047.0,0.705,0.0308,95.007,4.0,0.324,3.0,0.0,0.278,-6.898,1.0,1.0,,,,,,,,,,,,,,,,,,
Is This Love,0GVPRo9LEjxjT4C4o8BGot,https://open.spotify.com/track/0GVPRo9LEjxjT4C4o8BGot,https://i.scdn.co/image/ab67616d0000b27370d1c1cddd8608784f288259,Mohit Chauhan,5GnnSrwNCGyfAU4zuIytiS,https://open.spotify.com/artist/5GnnSrwNCGyfAU4zuIytiS,0.538,0.592,329167.0,0.816,0.0361,119.977,4.0,0.715,7.0,1.87e-06,0.102,-5.86,1.0,1.0,,,,,,,,,,,,,,,,,,
Rabba,5jOHD4c6UayVZn9Xm7IvyO,https://open.spotify.com/track/5jOHD4c6UayVZn9Xm7IvyO,https://i.scdn.co/image/ab67616d0000b2732317f776cff461790cba7222,Mohit Chauhan,5GnnSrwNCGyfAU4zuIytiS,https://open.spotify.com/artist/5GnnSrwNCGyfAU4zuIytiS,0.197,0.292,293209.0,0.766,0.0563,82.305,4.0,0.468,11.0,0.0,0.243,-5.206,1.0,1.0,,,,,,,,,,,,,,,,,,
"I Am In Love (From ""Once Upon A Time In Mumbaai"")",111KDx9Y9OMRTynJ4WYXSo,https://open.spotify.com/track/111KDx9Y9OMRTynJ4WYXSo,https://i.scdn.co/image/ab67616d0000b273f8ef6c7a66a030647287e25b,KK,4fEkbug6kZzzJ8eYX6Kbbp,https://open.spotify.com/artist/4fEkbug6kZzzJ8eYX6Kbbp,0.685,0.702,285109.0,0.694,0.0286,130.024,4.0,0.76,2.0,5.96e-05,0.168,-5.74,1.0,1.0,,,,,,,,,,,,,,,,,,
"Rishte Naate - From ""De Dana Dan""",6alUOXeJ3T6vi8dkN8QSbi,https://open.spotify.com/track/6alUOXeJ3T6vi8dkN8QSbi,https://i.scdn.co/image/ab67616d0000b273d769844a56f5b6227aeeac85,Rahat Fateh Ali Khan,3OLGltG8UPIea8sA4w0yg0,https://open.spotify.com/artist/3OLGltG8UPIea8sA4w0yg0,0.352,0.637,286587.0,0.825,0.0815,92.029,4.0,0.835,11.0,0.0,0.389,-6.612,1.0,1.0,,,,,,,,,,,,,,,,,,
Dil Ye Bekarar Kyun Hai,074jI4LCbzZxhm223m6ori,https://open.spotify.com/track/074jI4LCbzZxhm223m6ori,https://i.scdn.co/image/ab67616d0000b273c70accb69730972581fb5911,Pritam,1wRPtKGflJrBx9BmLsSwlU,https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU,0.293,0.675,276178.0,0.533,0.0349,134.976,4.0,0.91,0.0,0.0,0.113,-5.62,1.0,1.0,,,,,,,,,,,,,,,,,,
"Shiddat Title Track (From ""Shiddat"")",6CTN8S2qzPwZdwwp0Nugvy,https://open.spotify.com/track/6CTN8S2qzPwZdwwp0Nugvy,https://i.scdn.co/image/ab67616d0000b273e125bce803627d192c8f6697,Manan Bhardwaj,3pQ4aA7dkolyjUAMrVScgh,https://open.spotify.com/artist/3pQ4aA7dkolyjUAMrVScgh,0.288,0.489,230876.0,0.625,0.0584,149.921,3.0,0.439,9.0,0.0,0.133,-6.497,0.0,1.0,,,,,,,,,,,,,,,,,,
Rang Lageya,7mSzDKajY2wUtstQSLdzMK,https://open.spotify.com/track/7mSzDKajY2wUtstQSLdzMK,https://i.scdn.co/image/ab67616d0000b273f6429dd1d2b1cc114020ec3c,Mohit Chauhan,5GnnSrwNCGyfAU4zuIytiS,https://open.spotify.com/artist/5GnnSrwNCGyfAU4zuIytiS,0.504,0.651,227962.0,0.503,0.0261,108.014,4.0,0.58,4.0,0.0,0.469,-8.729,1.0,1.0,,,,,,,,,,,,,,,,,,
Humko Pyar Hua,4cltuh2RNH0LyZY9I8Vi08,https://open.spotify.com/track/4cltuh2RNH0LyZY9I8Vi08,https://i.scdn.co/image/ab67616d0000b2739f769025df6975a318f2b74a,Pritam,1wRPtKGflJrBx9BmLsSwlU,https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU,0.39,0.574,327300.0,0.816,0.0767,90.018,4.0,0.478,2.0,0.0,0.399,-5.712,1.0,1.0,,,,,,,,,,,,,,,,,,
Gulabi,22kRCQPyNXWZSQEcDvCmGD,https://open.spotify.com/track/22kRCQPyNXWZSQEcDvCmGD,https://i.scdn.co/image/ab67616d0000b273b142294d7adcc8e4f599fe87,Sachin-Jigar,1mBydYMVBECdDmMfE2sEUO,https://open.spotify.com/artist/1mBydYMVBECdDmMfE2sEUO,0.0648,0.673,230661.0,0.663,0.0446,124.002,4.0,0.678,4.0,1.79e-05,0.117,-10.026,1.0,1.0,,,,,,,,,,,,,,,,,,
Chitta,6JUQViD0hLXlvWXCV4uUF8,https://open.spotify.com/track/6JUQViD0hLXlvWXCV4uUF8,https://i.scdn.co/image/ab67616d0000b273e4c77dc1b6c85c754f7f136c,Manan Bhardwaj,3pQ4aA7dkolyjUAMrVScgh,https://open.spotify.com/artist/3pQ4aA7dkolyjUAMrVScgh,0.706,0.412,228189.0,0.494,0.0536,169.93,4.0,0.496,6.0,0.0,0.0772,-9.282,1.0,,,,1.0,,,,,,,,,,,,,1.0,,
"Chaandaniya (From ""2 States"")",7FsbfCdgaITFyfA51iur79,https://open.spotify.com/track/7FsbfCdgaITFyfA51iur79,https://i.scdn.co/image/ab67616d0000b273db4ebd9ad63546ef25bd40d5,Mohan Kannan,0iqFHwswV50GDerCAjulem,https://open.spotify.com/artist/0iqFHwswV50GDerCAjulem,0.301,0.567,247862.0,0.546,0.0405,113.806,4.0,0.401,4.0,1.69e-06,0.129,-8.316,1.0,1.0,,,,,,,,,,,,,,,,,,
